normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,target1--1,target2-0,target3-1,target4-2,target5-3
26,11,1,0,2,2,1,0,93.7,157.3,64.4,50.8,2004,3,2,92,1,4,19,9.4,42,16,31,38,119,0,0,0,1,0
3,17,1,1,1,3,1,0,99.1,186.6,66.5,56.1,2847,0,2,121,5,25,10,9,23,16,19,26,70,0,0,0,1,0
17,19,1,0,2,0,2,0,98.4,176.2,65.6,53,2975,3,2,146,5,30,28,9.3,9,8,24,30,62,0,0,0,1,0
19,9,1,0,2,0,2,0,96.6,180.3,70.5,50.8,3685,5,0,234,5,22,12,8.3,21,7,16,18,92,0,0,0,0,1
51,20,1,0,2,0,1,0,94.5,159.3,64.2,55.6,2254,3,2,109,5,13,24,8.5,54,16,24,29,15,0,0,0,0,1
51,15,1,0,2,1,2,1,89.5,168.9,65,51.6,2756,4,3,194,5,33,8,9.5,31,20,17,25,89,0,0,0,0,1
2,12,1,0,1,4,1,0,94.5,170.2,63.8,53.5,2024,3,2,97,1,11,21,9.4,43,12,31,37,136,0,0,1,0,0
13,12,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1938,3,2,97,1,11,21,9.4,43,12,31,37,124,0,0,1,0,0
51,9,1,0,2,1,2,0,112,199.2,72,55.4,3715,5,0,304,5,36,22,8,29,5,14,16,99,0,0,1,0,0
26,11,1,1,2,2,1,0,93,157.3,63.8,50.8,2145,3,2,98,6,7,23,7.6,2,16,24,30,142,0,0,1,0,0
3,8,1,0,2,2,1,0,93.1,159.1,64.2,54.1,1905,3,2,91,1,7,15,9,42,10,31,38,123,0,0,1,0,0
26,13,0,1,1,3,2,0,107.9,186.7,68.4,56.7,3197,2,2,152,3,32,29,21,57,0,28,33,28,0,1,0,0,0
39,5,1,0,1,4,1,0,96.5,157.1,63.9,58.3,2024,3,2,92,0,3,25,9.2,47,21,30,34,134,0,1,0,0,0
15,12,1,0,1,3,1,0,100.4,181.7,66.5,55.1,3095,5,3,181,5,21,20,9,19,12,17,22,32,0,1,0,0,0
42,5,1,0,1,3,1,0,96.5,175.4,62.5,54.1,2372,3,2,110,0,11,31,9,52,19,27,33,2,0,1,0,0,0
46,19,1,0,1,3,1,0,95.7,166.3,64.4,52.8,2140,3,2,98,1,13,9,9,44,8,28,34,171,0,1,0,0,0
26,13,1,0,1,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,22,1,8.4,57,10,19,24,43,0,1,0,0,0
51,8,0,0,1,3,2,0,104.9,175,66.1,54.4,2700,3,2,134,3,21,32,22,45,1,31,39,67,0,1,0,0,0
37,21,1,1,1,4,2,0,104.3,188.8,67.2,57.5,3157,3,2,130,5,30,15,7.5,25,11,17,22,72,1,0,0,0,0
37,14,1,0,1,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,19,26,8.5,53,10,24,30,166,1,0,0,0,0
48,20,1,0,1,3,1,0,97.3,171.7,65.5,55.7,2212,3,2,109,5,13,24,9,51,13,27,34,156,0,0,0,1,0
27,1,1,0,1,3,0,0,99.4,176.6,66.4,54.3,2824,3,1,136,5,13,24,8,8,16,18,22,61,0,0,0,1,0
13,20,1,0,2,3,1,0,97.3,171.7,65.5,55.7,2209,3,2,109,5,13,24,9,51,13,27,34,150,0,0,0,1,0
29,15,1,0,2,2,2,0,94.5,168.9,68.3,50.2,2778,3,2,151,5,37,13,9.5,17,16,19,27,78,0,0,0,0,1
51,15,1,0,2,1,2,1,89.5,168.9,65,51.6,2756,4,3,194,5,33,8,9.5,31,20,17,25,90,0,0,0,0,1
33,19,1,0,2,2,2,0,102.9,183.5,67.7,52,3016,0,3,171,5,15,22,9.3,24,12,19,24,48,0,0,0,0,1
51,6,1,0,2,3,1,0,94.5,155.9,63.6,52,1874,3,2,90,1,7,13,9.6,44,15,38,43,186,0,0,1,0,0
15,12,0,0,2,3,1,0,94.5,165.3,63.8,54.5,2017,3,2,103,3,5,27,21.9,36,8,45,50,130,0,0,1,0,0
21,4,1,0,1,3,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,4,19,9.4,42,16,31,38,120,0,0,1,0,0
51,1,1,0,1,4,1,0,105.8,192.7,71.4,55.7,2954,3,1,136,5,13,24,8.5,4,16,19,25,71,0,0,1,0,0
24,14,1,0,1,3,1,0,93.7,167.3,63.8,50.8,1989,3,2,90,1,4,19,9.4,42,16,31,38,120,0,0,1,0,0
46,19,1,0,1,2,1,0,95.7,166.3,64.4,52.8,2109,3,2,98,1,13,9,9,44,8,30,37,133,0,1,0,0,0
26,13,1,0,1,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,22,17,8.4,58,10,19,24,54,0,1,0,0,0
51,13,0,1,1,4,2,0,114.2,198.9,68.4,58.7,3485,2,2,152,3,32,29,21,57,0,25,25,59,0,1,0,0,0
26,13,0,1,1,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,32,29,21,57,0,28,33,64,0,1,0,0,0
6,12,1,0,1,4,1,0,100.4,184.6,66.5,56.1,3296,5,3,181,5,21,20,9,19,12,17,22,37,0,1,0,0,0
51,20,1,0,1,4,1,0,100.4,183.1,66.9,55.1,2563,3,2,109,5,13,24,9,53,16,25,31,21,0,1,0,0,0
40,19,1,0,1,4,0,0,95.7,169.7,63.6,59.1,2290,3,2,92,1,8,9,9,40,8,27,32,148,0,1,0,0,0
45,19,1,0,1,3,2,0,104.5,187.8,66.5,54.1,3131,0,3,171,5,15,22,9.2,22,12,20,24,45,1,0,0,0,0
51,19,1,0,1,4,2,0,104.5,187.8,66.5,54.1,3151,0,3,161,5,15,22,9.2,22,12,19,24,46,1,0,0,0,0
13,20,0,0,2,3,1,0,97.3,171.7,65.5,55.7,2261,3,2,97,3,6,24,23,35,8,37,46,144,0,0,0,1,0
17,19,1,0,2,1,2,0,98.4,176.2,65.6,52,2679,3,2,146,5,30,28,9.3,9,8,24,30,10,0,0,0,1,0
17,19,1,0,2,2,2,0,98.4,176.2,65.6,52,2714,3,2,146,5,30,28,9.3,9,8,24,30,14,0,0,0,1,0
